"time","ci","metric.mean_avg_processing_time","metric.mean_count","metric.mean_error_count","metric.mean_error_rate"
"2019-12-03T18:23:00.000Z","T2 Ticketing Domain Services","801",,"56",
"2019-12-03T18:23:00.000Z","T2 Web Services","221",,,"221"
"2019-12-03T18:23:00.000Z","UPSITE","41",,"247",
"2019-12-03T18:23:00.000Z","eHotels GDS Shopping Service for Open Systems (ShopServer)","7",,,
"2019-12-03T18:24:00.000Z","ANCS Ancillary Services 1","11",,,
"2019-12-03T18:24:00.000Z","CENTIVA","38",,"16",
"2019-12-03T18:24:00.000Z","CKI Check-In Services","236",,"1558",
"2019-12-03T18:24:00.000Z","CKI Event Manager","670",,"13",
"2019-12-03T18:24:00.000Z","CKI Host Event Handler","225",,"0",
"2019-12-03T18:24:00.000Z","Community Portal","18",,"16",
"2019-12-03T18:24:00.000Z","Content Services Travel Protection XML","1535",,"0",
"2019-12-03T18:24:00.000Z","German Tour","17",,"1",
"2019-12-03T18:24:00.000Z","GetThere GTX2","683",,"38",
"2019-12-03T18:24:00.000Z","Master Configuration Tool",,,"66",
"2019-12-03T18:24:00.000Z","Payment FraudCheck Service","404",,,
"2019-12-03T18:24:00.000Z","Payment Internet Payment Engine","963",,"4",
"2019-12-03T18:24:00.000Z","Payment Merchant Services Fees Push Service","18",,,
"2019-12-03T18:24:00.000Z","Payment Merchant Services Fees Query Service","14",,"0",
"2019-12-03T18:24:00.000Z","Payment Merchant Services Fees Sale Service","7",,,
"2019-12-03T18:24:00.000Z","Payment Merchant Services Fees VoidRefund Service","0",,,
"2019-12-03T18:24:00.000Z","Payment PSS Service","717",,"47",
"2019-12-03T18:24:00.000Z","Payment Processor Service","696",,"90",
"2019-12-03T18:24:00.000Z","Payment Query Service","222",,"13",
"2019-12-03T18:24:00.000Z","Payment Remote Service","20",,"0",
"2019-12-03T18:24:00.000Z","REST Application Facade","0",,,
"2019-12-03T18:24:00.000Z","Red App Center",,,"0",
"2019-12-03T18:24:00.000Z","SHS CCRS Universal Message Broker","34.92796295639515",,,
"2019-12-03T18:24:00.000Z","SRW Sabre Red Workspace","83",,"6",
"2019-12-03T18:24:00.000Z","SSW Digital Experience AWS","1",,"0",
"2019-12-03T18:24:00.000Z","SSW Service Engine","942",,"236",
"2019-12-03T18:24:00.000Z","Sabre Cruise",,,"0",
"2019-12-03T18:24:00.000Z","Sabre Geographical Services","10",,,
"2019-12-03T18:24:00.000Z","Sabre Web Services","412",,"6219",
"2019-12-03T18:24:00.000Z","Service Health Portal","550.01930449069","89","86.33333333333333",
"2019-12-03T18:24:00.000Z","T2 Agent Sales Report","49",,"0",
"2019-12-03T18:24:00.000Z","T2 Data Management Services","82",,"8",
"2019-12-03T18:24:00.000Z","T2 EMD Comp Voucher","0",,,
"2019-12-03T18:24:00.000Z","T2 Electronic Tktng HUB","182",,"70",
"2019-12-03T18:24:00.000Z","T2 Ticketing Domain Services","980",,"50",
"2019-12-03T18:24:00.000Z","T2 Web Services","223",,,"223"
"2019-12-03T18:24:00.000Z","UPSITE","51",,"199",
"2019-12-03T18:24:00.000Z","eHotels GDS Shopping Service for Open Systems (ShopServer)","7",,,
"2019-12-03T18:25:00.000Z","ANCS Ancillary Services 1","14",,,
"2019-12-03T18:25:00.000Z","CENTIVA","43",,"20",
"2019-12-03T18:25:00.000Z","CKI Check-In Services","202",,"1497",
"2019-12-03T18:25:00.000Z","CKI Event Manager","171",,"1",
"2019-12-03T18:25:00.000Z","CKI Host Event Handler","202",,"0",
"2019-12-03T18:25:00.000Z","Community Portal","19",,"11",
"2019-12-03T18:25:00.000Z","Content Services Travel Protection XML","3615",,"0",
"2019-12-03T18:25:00.000Z","German Tour","17",,"1",
"2019-12-03T18:25:00.000Z","GetThere GTX2","564",,"42",
"2019-12-03T18:25:00.000Z","Master Configuration Tool",,,"66",
"2019-12-03T18:25:00.000Z","Payment FraudCheck Service","400",,,
"2019-12-03T18:25:00.000Z","Payment Internet Payment Engine","645",,"0",
"2019-12-03T18:25:00.000Z","Payment Merchant Services Fees Push Service","18",,,
"2019-12-03T18:25:00.000Z","Payment Merchant Services Fees Query Service","15",,"0",
"2019-12-03T18:25:00.000Z","Payment Merchant Services Fees Sale Service","7",,,
"2019-12-03T18:25:00.000Z","Payment Merchant Services Fees VoidRefund Service","0",,,
"2019-12-03T18:25:00.000Z","Payment PSS Service","685",,"42",
"2019-12-03T18:25:00.000Z","Payment Processor Service","660",,"92",
"2019-12-03T18:25:00.000Z","Payment Query Service","220",,"14",
"2019-12-03T18:25:00.000Z","Payment Remote Service","132",,"0",
"2019-12-03T18:25:00.000Z","REST Application Facade","21",,,
"2019-12-03T18:25:00.000Z","Red App Center",,,"0",
"2019-12-03T18:25:00.000Z","SHS CCRS Universal Message Broker","38.867278206403526",,,
"2019-12-03T18:25:00.000Z","SRW Sabre Red Workspace","72.5",,"7",
"2019-12-03T18:25:00.000Z","SSW Digital Experience AWS","1",,"0",
"2019-12-03T18:25:00.000Z","SSW Service Engine","976",,"204",
"2019-12-03T18:25:00.000Z","Sabre Cruise",,,"0",
"2019-12-03T18:25:00.000Z","Sabre Geographical Services","5",,,
"2019-12-03T18:25:00.000Z","Sabre Web Services","413",,"5458",
"2019-12-03T18:25:00.000Z","Service Health Portal","552.3756555574353","87.66666666666667","86.33333333333333",
"2019-12-03T18:25:00.000Z","T2 Agent Sales Report","65",,"7",
"2019-12-03T18:25:00.000Z","T2 Data Management Services","93",,"6",
"2019-12-03T18:25:00.000Z","T2 EMD Comp Voucher","166",,,
"2019-12-03T18:25:00.000Z","T2 Electronic Tktng HUB","199",,"52",
"2019-12-03T18:25:00.000Z","T2 Ticketing Domain Services","463",,"45",
"2019-12-03T18:25:00.000Z","T2 Web Services","227",,,"227"
"2019-12-03T18:25:00.000Z","UPSITE","27",,"190",
"2019-12-03T18:25:00.000Z","eHotels GDS Shopping Service for Open Systems (ShopServer)","7",,,
"2019-12-03T18:26:00.000Z","SHS CCRS Universal Message Broker","41.33246386140615",,,
"2019-12-03T18:26:00.000Z","Sabre Cruise",,,"0",
"2019-12-03T18:26:00.000Z","Service Health Portal","1385.7535243292405",,"14",
"2019-12-03T18:27:00.000Z","Service Health Portal",,,"14",
