MariaDB [grafana]> \. ~/sql1.sql
+-------+--------+--------------+----------+------+-----------+-----------------------------+
| id    | org_id | dashboard_id | panel_id | type | region_id | substr(text,117,126)        |
| 17778 |      2 |         2753 |        1 |      |     17778 | CHG0333628</a>: Test 4      |
| 17779 |      2 |         2753 |        1 |      |     17778 | CHG0333628</a>: Test 4      |
| 17780 |      2 |         2753 |        1 |      |     17780 | CHG0333627</a>: Test 3      |
| 17781 |      2 |         2753 |        1 |      |     17780 | CHG0333627</a>: Test 3      |
| 17782 |      2 |         2753 |        1 |      |     17782 | CHG0333619</a>: Test 2      |
| 17783 |      2 |         2753 |        1 |      |     17782 | CHG0333619</a>: Test 2      |
| 17784 |      2 |         2753 |        1 |      |     17784 | CHG0333618</a>: Test change |
| 17785 |      2 |         2753 |        1 |      |     17784 | CHG0333618</a>: Test change |
| 17786 |      2 |         2753 |        2 |      |     17786 | CHG0333628</a>: Test 4      |
| 17787 |      2 |         2753 |        2 |      |     17786 | CHG0333628</a>: Test 4      |
| 17788 |      2 |         2753 |        2 |      |     17788 | CHG0333627</a>: Test 3      |
| 17789 |      2 |         2753 |        2 |      |     17788 | CHG0333627</a>: Test 3      |
| 17790 |      2 |         2753 |        2 |      |     17790 | CHG0333619</a>: Test 2      |
| 17791 |      2 |         2753 |        2 |      |     17790 | CHG0333619</a>: Test 2      |
| 17792 |      2 |         2753 |        2 |      |     17792 | CHG0333618</a>: Test change |
| 17793 |      2 |         2753 |        2 |      |     17792 | CHG0333618</a>: Test change |
| 17794 |      2 |         2753 |        3 |      |     17794 | CHG0333628</a>: Test 4      |
| 17795 |      2 |         2753 |        3 |      |     17794 | CHG0333628</a>: Test 4      |
| 17796 |      2 |         2753 |        3 |      |     17796 | CHG0333627</a>: Test 3      |
| 17797 |      2 |         2753 |        3 |      |     17796 | CHG0333627</a>: Test 3      |
| 17798 |      2 |         2753 |        3 |      |     17798 | CHG0333619</a>: Test 2      |
| 17799 |      2 |         2753 |        3 |      |     17798 | CHG0333619</a>: Test 2      |
| 17800 |      2 |         2753 |        3 |      |     17800 | CHG0333618</a>: Test change |
| 17801 |      2 |         2753 |        3 |      |     17800 | CHG0333618</a>: Test change |
| 17803 |      2 |         2753 |        1 |      |     17803 | CHG0333628</a>: Test 4      |
| 17804 |      2 |         2753 |        1 |      |     17803 | CHG0333628</a>: Test 4      |
| 17805 |      2 |         2753 |        1 |      |     17805 | CHG0333627</a>: Test 3      |
| 17806 |      2 |         2753 |        1 |      |     17805 | CHG0333627</a>: Test 3      |
| 17807 |      2 |         2753 |        1 |      |     17807 | CHG0333619</a>: Test 2      |
| 17808 |      2 |         2753 |        1 |      |     17807 | CHG0333619</a>: Test 2      |
| 17809 |      2 |         2753 |        1 |      |     17809 | CHG0333618</a>: Test change |
| 17810 |      2 |         2753 |        1 |      |     17809 | CHG0333618</a>: Test change |
| 17811 |      2 |         2753 |        2 |      |     17811 | CHG0333628</a>: Test 4      |
| 17812 |      2 |         2753 |        2 |      |     17811 | CHG0333628</a>: Test 4      |
| 17813 |      2 |         2753 |        2 |      |     17813 | CHG0333627</a>: Test 3      |
| 17814 |      2 |         2753 |        2 |      |     17813 | CHG0333627</a>: Test 3      |
| 17815 |      2 |         2753 |        2 |      |     17815 | CHG0333619</a>: Test 2      |
| 17816 |      2 |         2753 |        2 |      |     17815 | CHG0333619</a>: Test 2      |
| 17817 |      2 |         2753 |        2 |      |     17817 | CHG0333618</a>: Test change |
| 17818 |      2 |         2753 |        2 |      |     17817 | CHG0333618</a>: Test change |
| 17819 |      2 |         2753 |        3 |      |     17819 | CHG0333628</a>: Test 4      |
| 17820 |      2 |         2753 |        3 |      |     17819 | CHG0333628</a>: Test 4      |
| 17821 |      2 |         2753 |        3 |      |     17821 | CHG0333627</a>: Test 3      |
| 17822 |      2 |         2753 |        3 |      |     17821 | CHG0333627</a>: Test 3      |
| 17823 |      2 |         2753 |        3 |      |     17823 | CHG0333619</a>: Test 2      |
| 17824 |      2 |         2753 |        3 |      |     17823 | CHG0333619</a>: Test 2      |
| 17825 |      2 |         2753 |        3 |      |     17825 | CHG0333618</a>: Test change |
| 17826 |      2 |         2753 |        3 |      |     17825 | CHG0333618</a>: Test change |
| 17828 |      2 |         2753 |        1 |      |     17828 | CHG0333628</a>: Test 4      |
| 17829 |      2 |         2753 |        1 |      |     17828 | CHG0333628</a>: Test 4      |
| 17830 |      2 |         2753 |        1 |      |     17830 | CHG0333627</a>: Test 3      |
| 17831 |      2 |         2753 |        1 |      |     17830 | CHG0333627</a>: Test 3      |
| 17832 |      2 |         2753 |        1 |      |     17832 | CHG0333619</a>: Test 2      |
| 17833 |      2 |         2753 |        1 |      |     17832 | CHG0333619</a>: Test 2      |
| 17834 |      2 |         2753 |        1 |      |     17834 | CHG0333618</a>: Test change |
| 17835 |      2 |         2753 |        1 |      |     17834 | CHG0333618</a>: Test change |
| 17836 |      2 |         2753 |        2 |      |     17836 | CHG0333628</a>: Test 4      |
| 17837 |      2 |         2753 |        2 |      |     17836 | CHG0333628</a>: Test 4      |
| 17838 |      2 |         2753 |        2 |      |     17838 | CHG0333627</a>: Test 3      |
| 17839 |      2 |         2753 |        2 |      |     17838 | CHG0333627</a>: Test 3      |
| 17840 |      2 |         2753 |        2 |      |     17840 | CHG0333619</a>: Test 2      |
| 17841 |      2 |         2753 |        2 |      |     17840 | CHG0333619</a>: Test 2      |
| 17842 |      2 |         2753 |        2 |      |     17842 | CHG0333618</a>: Test change |
