"Time";"Transaction Count";"Upper Threshold";"Lower Trend";"Upper Trend";"Lower Threshold"
"2020-01-16T09:36:00 -06:00";null;null;null;null;null
"2020-01-16T09:37:00 -06:00";808127;-1;511375.19;920467.46;-1
"2020-01-16T09:38:00 -06:00";811901;-1;511374.6;920466.87;-1
"2020-01-16T09:39:00 -06:00";811912;-1;511374.25;920466.52;-1
"2020-01-16T09:40:00 -06:00";807997;-1;511374.24;920466.51;-1
"2020-01-16T09:41:00 -06:00";812024;-1;511374.67;920466.94;-1
"2020-01-16T09:42:00 -06:00";808029;-1;511376.67;920468.94;-1
"2020-01-16T09:43:00 -06:00";811973;-1;511380.45;920472.72;-1
"2020-01-16T09:44:00 -06:00";808043;-1;511384.73;920477;-1
"2020-01-16T09:45:00 -06:00";811938;-1;511388.21;920480.48;-1
"2020-01-16T09:46:00 -06:00";811926;-1;511389.62;920481.89;-1
"2020-01-16T09:47:00 -06:00";808154;-1;511388.16;920480.43;-1
"2020-01-16T09:48:00 -06:00";811962;-1;511384.57;920476.84;-1
"2020-01-16T09:49:00 -06:00";808047;-1;511379.9;920472.17;-1
"2020-01-16T09:50:00 -06:00";808073;-1;511375.16;920467.44;-1
"2020-01-16T09:51:00 -06:00";808057;-1;511371.41;920463.69;-1
"2020-01-16T09:52:00 -06:00";812007;-1;511369.68;920461.95;-1
"2020-01-16T09:53:00 -06:00";808175;-1;511370.34;920462.61;-1
"2020-01-16T09:54:00 -06:00";808102;-1;511372.6;920464.87;-1
"2020-01-16T09:55:00 -06:00";812019;-1;511375.74;920468.02;-1
"2020-01-16T09:56:00 -06:00";811900;-1;511379.06;920471.34;-1
"2020-01-16T09:57:00 -06:00";811999;-1;511381.85;920474.12;-1
"2020-01-16T09:58:00 -06:00";808076;-1;511383.38;920475.65;-1
"2020-01-16T09:59:00 -06:00";812007;-1;511383.78;920476.06;-1
"2020-01-16T10:00:00 -06:00";808106;-1;511383.74;920476.01;-1
"2020-01-16T10:01:00 -06:00";808558;-1;511383.35;920475.62;-1
"2020-01-16T10:02:00 -06:00";814089;-1;511382.72;920474.99;-1
"2020-01-16T10:03:00 -06:00";817898;-1;511381.96;920474.23;-1
"2020-01-16T10:04:00 -06:00";817776;-1;511381.17;920473.44;-1
"2020-01-16T10:05:00 -06:00";806418;-1;511307.82;920982.31;-1
"2020-01-16T10:06:00 -06:00";724935;-1;511335.23;921009.72;-1
"2020-01-16T10:07:00 -06:00";765878;-1;511366.96;921041.45;-1
"2020-01-16T10:08:00 -06:00";721404;-1;511400.25;921074.74;-1
"2020-01-16T10:09:00 -06:00";694979;-1;511432.35;921106.85;-1
"2020-01-16T10:10:00 -06:00";698639;-1;511460.51;921135;-1
"2020-01-16T10:11:00 -06:00";698496;-1;511481.95;921156.44;-1
"2020-01-16T10:12:00 -06:00";806333;-1;511495.01;921169.5;-1
"2020-01-16T10:13:00 -06:00";806397;-1;511501.3;921175.79;-1
"2020-01-16T10:14:00 -06:00";806442;-1;511503.03;921177.52;-1
"2020-01-16T10:15:00 -06:00";806477;-1;511502.39;921176.88;-1
"2020-01-16T10:16:00 -06:00";806187;-1;511501.58;921176.07;-1
"2020-01-16T10:17:00 -06:00";809944;-1;511502.8;921177.29;-1
"2020-01-16T10:18:00 -06:00";806125;-1;511500.31;921174.81;-1
"2020-01-16T10:19:00 -06:00";806172;-1;511490.07;921164.56;-1
"2020-01-16T10:20:00 -06:00";806198;-1;511476.8;921151.3;-1
"2020-01-16T10:21:00 -06:00";817550;-1;511465.23;921139.72;-1
"2020-01-16T10:22:00 -06:00";813734;-1;511460.08;921134.57;-1
"2020-01-16T10:23:00 -06:00";813652;-1;511460.72;921135.21;-1
"2020-01-16T10:24:00 -06:00";813741;-1;511462.9;921137.4;-1
"2020-01-16T10:25:00 -06:00";813755;-1;511465.95;921140.44;-1
