"Time";"Transaction Count";"Upper Threshold";"Lower Trend";"Upper Trend";"Lower Threshold"
"2020-01-12T15:58:00 -06:00";768833;null;null;null;null
"2020-01-12T15:59:00 -06:00";null;-1;492849.42;872114.16;-1
"2020-01-12T16:00:00 -06:00";769113;-1;492850.12;872114.86;-1
"2020-01-12T16:01:00 -06:00";null;-1;492850.47;872115.21;-1
"2020-01-12T16:02:00 -06:00";769201;-1;492850.35;872115.09;-1
"2020-01-12T16:03:00 -06:00";null;-1;492849.66;872114.39;-1
"2020-01-12T16:04:00 -06:00";769037;-1;492846.7;872111.44;-1
"2020-01-12T16:05:00 -06:00";null;-1;492979.71;872735.59;-1
"2020-01-12T16:06:00 -06:00";768969;-1;492995.01;872750.89;-1
"2020-01-12T16:07:00 -06:00";null;-1;493015.07;872770.95;-1
"2020-01-12T16:08:00 -06:00";769034;-1;493037.65;872793.53;-1
"2020-01-12T16:09:00 -06:00";null;-1;493060.48;872816.36;-1
"2020-01-12T16:10:00 -06:00";769015;-1;493081.32;872837.2;-1
"2020-01-12T16:11:00 -06:00";null;-1;493097.91;872853.79;-1
"2020-01-12T16:12:00 -06:00";768986;-1;493114.13;872870.01;-1
"2020-01-12T16:13:00 -06:00";null;-1;493133.75;872889.63;-1
"2020-01-12T16:14:00 -06:00";765093;-1;493154.38;872910.26;-1
"2020-01-12T16:15:00 -06:00";null;-1;493173.6;872929.48;-1
"2020-01-12T16:16:00 -06:00";768970;-1;493189.01;872944.89;-1
"2020-01-12T16:17:00 -06:00";null;-1;493198.2;872954.08;-1
"2020-01-12T16:18:00 -06:00";768994;-1;493194.87;872950.75;-1
"2020-01-12T16:19:00 -06:00";null;-1;493179.28;872935.16;-1
"2020-01-12T16:20:00 -06:00";765109;-1;493158.86;872914.74;-1
"2020-01-12T16:21:00 -06:00";null;-1;493141.03;872896.91;-1
"2020-01-12T16:22:00 -06:00";769002;-1;493133.24;872889.12;-1
"2020-01-12T16:23:00 -06:00";null;-1;493134.7;872890.58;-1
"2020-01-12T16:24:00 -06:00";765120;-1;493138.86;872894.74;-1
"2020-01-12T16:25:00 -06:00";null;-1;493144.46;872900.34;-1
"2020-01-12T16:26:00 -06:00";769051;-1;493150.25;872906.13;-1
"2020-01-12T16:27:00 -06:00";null;-1;493155;872910.88;-1
"2020-01-12T16:28:00 -06:00";765116;-1;493157.43;872913.31;-1
"2020-01-12T16:29:00 -06:00";null;-1;493157.46;872913.34;-1
"2020-01-12T16:30:00 -06:00";769015;-1;493156.13;872912.01;-1
"2020-01-12T16:31:00 -06:00";null;-1;493153.96;872909.84;-1
"2020-01-12T16:32:00 -06:00";765103;-1;493151.46;872907.34;-1
"2020-01-12T16:33:00 -06:00";null;-1;493149.14;872905.02;-1
"2020-01-12T16:34:00 -06:00";769065;-1;493147.5;872903.38;-1
"2020-01-12T16:35:00 -06:00";null;-1;493145.95;872901.83;-1
"2020-01-12T16:36:00 -06:00";769076;-1;493143.83;872899.71;-1
"2020-01-12T16:37:00 -06:00";null;-1;493141.61;872897.49;-1
"2020-01-12T16:38:00 -06:00";765167;-1;493139.73;872895.61;-1
"2020-01-12T16:39:00 -06:00";null;-1;493138.65;872894.53;-1
"2020-01-12T16:40:00 -06:00";765158;-1;493138.83;872894.71;-1
"2020-01-12T16:41:00 -06:00";null;-1;493142;872897.88;-1
"2020-01-12T16:42:00 -06:00";765111;-1;493148.2;872904.08;-1
"2020-01-12T16:43:00 -06:00";null;-1;493155.28;872911.16;-1
"2020-01-12T16:44:00 -06:00";769087;-1;493161.13;872917.01;-1
"2020-01-12T16:45:00 -06:00";null;-1;493163.6;872919.48;-1
"2020-01-12T16:46:00 -06:00";769094;-1;493161.71;872917.59;-1
"2020-01-12T16:47:00 -06:00";null;-1;493156.82;872912.7;-1
"2020-01-12T16:48:00 -06:00";765186;-1;493150.37;872906.25;-1
"2020-01-12T16:49:00 -06:00";null;-1;493143.77;872899.65;-1
"2020-01-12T16:50:00 -06:00";769088;-1;493138.45;872894.33;-1
"2020-01-12T16:51:00 -06:00";null;-1;493135.85;872891.73;-1
"2020-01-12T16:52:00 -06:00";769122;-1;493136.32;872892.2;-1
"2020-01-12T16:53:00 -06:00";null;-1;493138.74;872894.62;-1
"2020-01-12T16:54:00 -06:00";769123;-1;493142.28;872898.16;-1
"2020-01-12T16:55:00 -06:00";null;-1;493146.13;872902.01;-1
"2020-01-12T16:56:00 -06:00";765257;-1;493149.48;872905.36;-1
"2020-01-12T16:57:00 -06:00";null;-1;493151.5;872907.38;-1
"2020-01-12T16:58:00 -06:00";765195;-1;493152.57;872908.45;-1
"2020-01-12T16:59:00 -06:00";null;-1;493153.55;872909.43;-1
"2020-01-12T17:00:00 -06:00";769098;-1;493154.3;872910.18;-1
"2020-01-12T17:01:00 -06:00";null;-1;493154.7;872910.58;-1
