"Time";"Transaction Count";"Upper Threshold";"Lower Trend";"Upper Trend";"Lower Threshold"
"2020-02-25T13:00:00 -06:00";808632;-1;502762.8;912864.71;-1
"2020-02-25T13:01:00 -06:00";808968;-1;502763.02;912864.94;-1
"2020-02-25T13:02:00 -06:00";808831;-1;502762.94;912864.85;-1
"2020-02-25T13:03:00 -06:00";812624;-1;502762.46;912864.37;-1
"2020-02-25T13:04:00 -06:00";808623;-1;502760.45;912862.37;-1
"2020-02-25T13:05:00 -06:00";808639;-1;502756.68;912858.59;-1
"2020-02-25T13:06:00 -06:00";808747;-1;505976.27;916642;-1
"2020-02-25T13:07:00 -06:00";812462;-1;505995.72;916661.44;-1
"2020-02-25T13:08:00 -06:00";812553;-1;506016.67;916682.4;-1
"2020-02-25T13:09:00 -06:00";808596;-1;506037.17;916702.9;-1
"2020-02-25T13:10:00 -06:00";812536;-1;506055.27;916721;-1
"2020-02-25T13:11:00 -06:00";808623;-1;506069.01;916734.74;-1
"2020-02-25T13:12:00 -06:00";812514;-1;506078.46;916744.18;-1
"2020-02-25T13:13:00 -06:00";808676;-1;506085.35;916751.07;-1
"2020-02-25T13:14:00 -06:00";808622;-1;506090.22;916755.94;-1
"2020-02-25T13:15:00 -06:00";812520;-1;506093.62;916759.35;-1
"2020-02-25T13:16:00 -06:00";808597;-1;506096.1;916761.83;-1
"2020-02-25T13:17:00 -06:00";812514;-1;506098.2;916763.93;-1
"2020-02-25T13:18:00 -06:00";812513;-1;506095.66;916761.39;-1
"2020-02-25T13:19:00 -06:00";812552;-1;506086.57;916752.3;-1
"2020-02-25T13:20:00 -06:00";812480;-1;506074.98;916740.71;-1
"2020-02-25T13:21:00 -06:00";808714;-1;506064.93;916730.66;-1
"2020-02-25T13:22:00 -06:00";812566;-1;506060.48;916726.2;-1
"2020-02-25T13:23:00 -06:00";808699;-1;506061.4;916727.12;-1
"2020-02-25T13:24:00 -06:00";812567;-1;506064.2;916729.93;-1
"2020-02-25T13:25:00 -06:00";808611;-1;506068.03;916733.76;-1
"2020-02-25T13:26:00 -06:00";808760;-1;506072.02;916737.75;-1
"2020-02-25T13:27:00 -06:00";812627;-1;506075.32;916741.04;-1
"2020-02-25T13:28:00 -06:00";812592;-1;506077.05;916742.78;-1
"2020-02-25T13:29:00 -06:00";812544;-1;506077.25;916742.97;-1
"2020-02-25T13:30:00 -06:00";812575;-1;506076.66;916742.39;-1
"2020-02-25T13:31:00 -06:00";808557;-1;506075.57;916741.29;-1
"2020-02-25T13:32:00 -06:00";812589;-1;506074.23;916739.95;-1
"2020-02-25T13:33:00 -06:00";812636;-1;506072.9;916738.62;-1
"2020-02-25T13:34:00 -06:00";808713;-1;506071.85;916737.57;-1
"2020-02-25T13:35:00 -06:00";812626;-1;506070.57;916736.29;-1
"2020-02-25T13:36:00 -06:00";812637;-1;506068.66;916734.39;-1
"2020-02-25T13:37:00 -06:00";808756;-1;506066.57;916732.3;-1
"2020-02-25T13:38:00 -06:00";808707;-1;506064.73;916730.46;-1
"2020-02-25T13:39:00 -06:00";808750;-1;506063.57;916729.29;-1
"2020-02-25T13:40:00 -06:00";812656;-1;506063.52;916729.24;-1
"2020-02-25T13:41:00 -06:00";812744;-1;506065.87;916731.59;-1
"2020-02-25T13:42:00 -06:00";808771;-1;506070.54;916736.26;-1
"2020-02-25T13:43:00 -06:00";808656;-1;506075.91;916741.63;-1
"2020-02-25T13:44:00 -06:00";808783;-1;506080.38;916746.1;-1
"2020-02-25T13:45:00 -06:00";808716;-1;506082.32;916748.05;-1
"2020-02-25T13:46:00 -06:00";808863;-1;506081.08;916746.81;-1
"2020-02-25T13:47:00 -06:00";808786;-1;506077.72;916743.45;-1
"2020-02-25T13:48:00 -06:00";812587;-1;506073.24;916738.97;-1
"2020-02-25T13:49:00 -06:00";808731;-1;506068.63;916734.36;-1
"2020-02-25T13:50:00 -06:00";808849;-1;506064.89;916730.61;-1
"2020-02-25T13:51:00 -06:00";808800;-1;506063;916728.72;-1
"2020-02-25T13:52:00 -06:00";812594;-1;506063.16;916728.88;-1
"2020-02-25T13:53:00 -06:00";812731;-1;506064.56;916730.29;-1
"2020-02-25T13:54:00 -06:00";812657;-1;506066.71;916732.43;-1
"2020-02-25T13:55:00 -06:00";808665;-1;506069.09;916734.81;-1
"2020-02-25T13:56:00 -06:00";808763;-1;506071.2;916736.93;-1
"2020-02-25T13:57:00 -06:00";812701;-1;506072.54;916738.27;-1
"2020-02-25T13:58:00 -06:00";812637;-1;506073.48;916739.2;-1
"2020-02-25T13:59:00 -06:00";808783;-1;506074.57;916740.3;-1
"2020-02-25T14:00:00 -06:00";808632;-1;502762.8;912864.71;-1
"2020-02-25T14:01:00 -06:00";808968;-1;502763.02;912864.94;-1
"2020-02-25T14:02:00 -06:00";808831;-1;502762.94;912864.85;-1
"2020-02-25T14:03:00 -06:00";812624;-1;502762.46;912864.37;-1
"2020-02-25T14:04:00 -06:00";808623;-1;502760.45;912862.37;-1
"2020-02-25T14:05:00 -06:00";808639;-1;502756.68;912858.59;-1
"2020-02-25T14:06:00 -06:00";808747;-1;505976.27;916642;-1
"2020-02-25T14:07:00 -06:00";812462;-1;505995.72;916661.44;-1
"2020-02-25T14:08:00 -06:00";812553;-1;506016.67;916682.4;-1
"2020-02-25T14:09:00 -06:00";808596;-1;506037.17;916702.9;-1
"2020-02-25T14:10:00 -06:00";812536;-1;506055.27;916721;-1
"2020-02-25T14:11:00 -06:00";808623;-1;506069.01;916734.74;-1
"2020-02-25T14:12:00 -06:00";812514;-1;506078.46;916744.18;-1
"2020-02-25T14:13:00 -06:00";808676;-1;506085.35;916751.07;-1
"2020-02-25T14:14:00 -06:00";808622;-1;506090.22;916755.94;-1
"2020-02-25T14:15:00 -06:00";812520;-1;506093.62;916759.35;-1
"2020-02-25T14:16:00 -06:00";808597;-1;506096.1;916761.83;-1
"2020-02-25T14:17:00 -06:00";812514;-1;506098.2;916763.93;-1
